2024-06-23 10:55:19.1092|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7074 |url: |action: 
2024-06-23 10:55:19.1166|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-06-23 10:55:19.1795|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-23 10:55:19.1795|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-23 10:55:19.1795|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Hw\4 семестр\sem-work-asp-Numnummer\EngSite.Api\EngSite.Api.Web |url: |action: 
2024-06-23 10:58:01.5584|0|INFO|EngSite.Api.Web.Controllers.UserController|Got request at SignInUser. Login: 12345 |url: https://localhost/enter|action: SignInUser
2024-06-23 10:58:02.5985|0|INFO|EngSite.Api.Web.Controllers.UserController|Returned 200 OK and jwt token as response |url: https://localhost/enter|action: SignInUser
2024-06-23 10:58:35.0343|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7074 |url: |action: 
2024-06-23 10:58:35.0343|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-06-23 10:58:35.0790|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-23 10:58:35.0790|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-23 10:58:35.0790|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Hw\4 семестр\sem-work-asp-Numnummer\EngSite.Api\EngSite.Api.Web |url: |action: 
2024-06-23 11:01:30.3554|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7074 |url: |action: 
2024-06-23 11:01:30.3554|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5016 |url: |action: 
2024-06-23 11:01:30.3909|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2024-06-23 11:01:30.3909|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2024-06-23 11:01:30.3909|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Hw\4 семестр\sem-work-asp-Numnummer\EngSite.Api\EngSite.Api.Web |url: |action: 
2024-06-23 11:11:01.4137|0|INFO|EngSite.Api.Web.Controllers.UserController|Got request at SignInUser. Login: 12346 |url: https://localhost/enter|action: SignInUser
2024-06-23 11:11:01.4906|0|INFO|EngSite.Api.Web.Controllers.UserController|Returned 200 OK and jwt token as response |url: https://localhost/enter|action: SignInUser
2024-06-23 11:12:09.6531|0|INFO|EngSite.Api.Web.Controllers.UserController|Got request at SignInUser. Login: 12345 |url: https://localhost/enter|action: SignInUser
2024-06-23 11:12:09.6601|0|INFO|EngSite.Api.Web.Controllers.UserController|Returned 200 OK and jwt token as response |url: https://localhost/enter|action: SignInUser
